ID,site,date,month,season,temp,latitude,longitude,species,SL ,FL,TL,weight_tot,Gutted_weight,Fult_K,FG_ww,HGC_ww,gut_full,GSI,scaledig_1,scaledig_2,scaledig_3,scaledig_4,perc_Gigartinales,perc_Ceramiales,perc_Laminariales,perc_sponge,perc_Balliales,perc_Sphacelariales,perc_Ulvales,perc_Amphipoda,Soft Bryozoan,Fine Brown aglae,Red Tube,perc_Bryopsidales,perc_crustacean,perc_Fucales,perc_Halymeniales,perc_Cladophorales,perc_Ectocarpales,perc_Rhodymeniales,perc_Hydroid.Colony,perc_Corallinales,perc_Gracilariales,perc_Gelidiales
s20203,South Bruny Island,13/5/2022,May,Autumn,17,43.3317,147.3749,Aplodactylus arctidens,375,424,445,1599,1428,1.81,4,167,3,10.69,4,3,2,2,1,87,0,3,0,0,0,0,0,0,0,0.4,0,8,0,0,0,0,0,0,0,0
s20204,South Bruny Island,13/5/2022,May,Autumn,17,43.3317,147.3749,Aplodactylus arctidens,420,465,485,2095,1884,1.84,0,211,4,10.07,4,4,3,2,66,0.6,0,15,0,1,0.6,0,0,0,0,0,0,13,2,0,0,0,0.6,0,0,0
s20205,South Bruny Island,13/5/2022,May,Autumn,17,43.3317,147.3749,Aplodactylus arctidens,477,530,545,3345,2998,2.07,0,347,4,10.37,5,5,4,4,0,9,0,9,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0
s20206,South Bruny Island,13/5/2022,May,Autumn,17,43.3317,147.3749,Aplodactylus arctidens,365,419,442,1758,1581,2.04,10,167,4,10.07,4,3,3,2,0,97,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
s20207,South Bruny Island,13/5/2022,May,Autumn,17,43.3317,147.3749,Aplodactylus arctidens,412,456,480,1947,1775,1.76,0,172,4,8.83,5,5,4,4,2,2,0.6,6,0,53,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
s20208,South Bruny Island,13/5/2022,May,Autumn,17,43.3317,147.3749,Aplodactylus arctidens,315,363,380,928,874,1.69,0,54,2,5.82,3,2,2,2,1.7,98,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0
s20209,South Bruny Island,13/5/2022,May,Autumn,17,43.3317,147.3749,Aplodactylus arctidens,398,446,464,1767,1653,1.77,0,114,2,6.45,3,3,2,2,8,1.2,24,7,0.6,48,0,0,0,0,0,0,0,7.6,0.6,0,0,0,0,4,0,0
s20210,South Bruny Island,13/5/2022,May,Autumn,17,43.3317,147.3749,Aplodactylus arctidens,370,410,431,1080,1063,1.35,4,13,1,1.57,2,2,1,1,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s20211,South Bruny Island,13/5/2022,May,Autumn,17,43.3317,147.3749,Aplodactylus arctidens,407,450,470,1771,1606,1.71,0,165,4,9.32,5,4,4,4,4,0,3,17,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0
s20212,South Bruny Island,13/5/2022,May,Autumn,17,43.3317,147.3749,Aplodactylus arctidens,366,415,434,1300,1133,1.59,0,167,3,12.85,3,3,2,2,0,78,6,8,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,2,0,0
s20201hc,South Bruny Island,13/5/2022,May,Autumn,17,43.3317,147.3749,Olisthops cyanomelas,375,407,436,873,795,1.05,31,47,2,8.93,3,2,2,1,0,33,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s20202hc,South Bruny Island,13/5/2022,May,Autumn,17,43.3317,147.3749,Olisthops cyanomelas,346,386,410,742,688,1.08,13,41,2,7.28,2,2,2,1,0,8,91,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s20203hc,South Bruny Island,13/5/2022,May,Autumn,17,43.3317,147.3749,Olisthops cyanomelas,320,360,420,623,606,0.84,5,12,2,2.73,2,2,1,1,0,4,63,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s20204hc,South Bruny Island,13/5/2022,May,Autumn,17,43.3317,147.3749,Olisthops cyanomelas,370,405,460,772,728,0.79,9,35,2,5.7,2,2,2,1,0,18,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s20205hc,South Bruny Island,13/5/2022,May,Autumn,17,43.3317,147.3749,Olisthops cyanomelas,384,414,479,931,891,0.85,3,37,3,4.3,2,2,1,1,3.6,3.6,89,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s20206hc,South Bruny Island,13/5/2022,May,Autumn,17,43.3317,147.3749,Olisthops cyanomelas,343,373,434,640,609,0.78,5,26,2,4.84,2,2,1,1,0,2,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s30201hc,Bicheno,29/5/2022,May,Autumn,15,41.8707,148.3079,Olisthops cyanomelas,258,285,315,288,274,0.92,1,13,2,4.86,2,2,1,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s30202hc,Bicheno,29/5/2022,May,Autumn,15,41.8707,148.3079,Olisthops cyanomelas,288,317,340,456,434,1.16,4,18,2,4.82,2,2,1,1,0,0,75,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s30203hc,Bicheno,29/5/2022,May,Autumn,15,41.8707,148.3079,Olisthops cyanomelas,280,315,340,414,398,1.05,1,15,2,3.86,2,2,1,1,0,0,75,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s30204hc,Bicheno,29/5/2022,May,Autumn,15,41.8707,148.3079,Olisthops cyanomelas,335,365,420,616,581,0.83,3,32,2,5.68,2,2,2,1,0,0,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s30201,Bicheno,29/5/2022,May,Autumn,15,41.8707,148.3079,Aplodactylus arctidens,430,466,487,1896,1807,1.64,26,63,2,4.69,4,4,3,3,4,8,0,24,0,0.5,15,0,0,0,0,0,0,30,0.3,0,0,0,0,0,0,0
s30202,Bicheno,29/5/2022,May,Autumn,15,41.8707,148.3079,Aplodactylus arctidens,390,447,472,1908,1664,1.81,27,217,4,12.79,5,4,4,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0
s20301,South Bruny Island,24/6/2022,Jun,Winter,14.1,43.3317,147.3749,Aplodactylus arctidens,410,459,482,1854,1679,1.66,21,154,4,9.44,4,3,2,1,0,96,0.8,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0
s20302,South Bruny Island,24/6/2022,Jun,Winter,14.1,43.3317,147.3749,Aplodactylus arctidens,431,484,500,2376,2181,1.9,9,186,4,8.21,4,4,3,3,6,5,3,10,0,48,4,0,0,0,0,0,0,3,0,0,0,0,0,22,0,0
s20303,South Bruny Island,24/6/2022,Jun,Winter,14.1,43.3317,147.3749,Aplodactylus arctidens,443,471,499,2245,2041,1.81,12,192,3,9.09,4,4,3,3,3,83,0,7,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0
s20304,South Bruny Island,24/6/2022,Jun,Winter,14.1,43.3317,147.3749,Aplodactylus arctidens,443,493,513,2360,2140,1.75,45,175,4,9.32,4,4,3,3,0,97,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
s20305,South Bruny Island,24/6/2022,Jun,Winter,14.1,43.3317,147.3749,Aplodactylus arctidens,501,556,580,3076,2957,1.58,0,119,3,3.87,5,5,4,4,2,43,0,36,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0
s20306,South Bruny Island,24/6/2022,Jun,Winter,14.1,43.3317,147.3749,Aplodactylus arctidens,486,523,547,2587,2413,1.58,4,170,3,6.73,5,4,4,4,41,22,1,9,0,0,0,0,0,0,2,0,0,21,0,0,0,0,0,5,0,0
s20307,South Bruny Island,24/6/2022,Jun,Winter,14.1,43.3317,147.3749,Aplodactylus arctidens,460,515,540,2396,2229,1.52,2,165,3,6.97,5,5,4,3,2,85,10,3,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0
s20308,South Bruny Island,24/6/2022,Jun,Winter,14.1,43.3317,147.3749,Aplodactylus arctidens,470,520,546,2883,2655,1.77,0,228,3,7.91,5,4,4,3,5,45,13,31,0.8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
s20309,South Bruny Island,24/6/2022,Jun,Winter,14.1,43.3317,147.3749,Aplodactylus arctidens,454,502,532,2834,2681,1.88,0,153,3,5.4,5,4,4,3,0,11,1,41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,43
s20310,South Bruny Island,24/6/2022,Jun,Winter,14.1,43.3317,147.3749,Aplodactylus arctidens,453,500,515,2301,2096,1.68,24,181,3,8.91,5,5,4,4,1,88,2,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
s20311,South Bruny Island,24/6/2022,Jun,Winter,14.1,43.3317,147.3749,Aplodactylus arctidens,425,476,492,2072,1900,1.74,7,165,3,8.3,4,4,3,3,0,25,8,16,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s20301hc,South Bruny Island,24/6/2022,Jun,Winter,14.1,43.3317,147.3749,Olisthops cyanomelas,342,380,430,628,603,0.79,7,18,2,3.98,3,2,2,1,0,8,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s20302hc,South Bruny Island,24/6/2022,Jun,Winter,14.1,43.3317,147.3749,Olisthops cyanomelas,340,382,406,744,705,1.11,2,37,3,5.24,2,2,1,1,0,0,93,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s20303hc,South Bruny Island,24/6/2022,Jun,Winter,14.1,43.3317,147.3749,Olisthops cyanomelas,355,392,455,810,776,0.86,1,33,3,4.2,2,1,1,1,9,11,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s20304hc,South Bruny Island,24/6/2022,Jun,Winter,14.1,43.3317,147.3749,Olisthops cyanomelas,346,380,465,708,679,0.7,6,23,2,4.1,2,1,1,1,2,4,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s30301hc,Bicheno,30/7/2022,Jul,Winter,12,43.3317,147.3749,Olisthops cyanomelas,340,376,405,818,779,1.23,4,35,4,4.77,3,3,2,2,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s30302hc,Bicheno,30/7/2022,Jul,Winter,12,43.3317,147.3749,Olisthops cyanomelas,230,255,260,181,167.24,1.03,0.76,13,3,7.60,3,3,2,2,0,2,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s20401,South Bruny Island,29/8/2022,Aug,Winter,12,43.3317,147.3749,Aplodactylus arctidens,425,473,490,1744,1623.2,1.48,32.6,88.2,2,6.93,4,3,2,2,3,92,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
s20402,South Bruny Island,29/8/2022,Aug,Winter,12,43.3317,147.3749,Aplodactylus arctidens,478,460,478,1723,1549.8,1.58,45.1,128.1,4,10.05,5,4,3,2,46,38,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
s20403,South Bruny Island,29/8/2022,Aug,Winter,12,43.3317,147.3749,Aplodactylus arctidens,460,520,536,2467,2426.4,1.6,0,40.6,1,1.65,5,5,5,4,17,22,4,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0
s20404,South Bruny Island,29/8/2022,Aug,Winter,12,43.3317,147.3749,Aplodactylus arctidens,410,466,490,1760,1673.9,1.5,28.2,57.9,3,4.89,4,4,3,3,0.5,98,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s20405,South Bruny Island,29/8/2022,Aug,Winter,12,43.3317,147.3749,Aplodactylus arctidens,435,486,515,2178,2127.9,1.59,0,50.1,2,2.3,5,5,4,4,52,14,7,18,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
